Parameter Name,Value,Units
Draw Name,P_1550_2,
Draw Date,2025-07-02 07:37:54.769876,
Preform Diameter,28.2,mm
Tiger Cut,0.0,%
Selected Iris Diameter,32.5,mm
Entry Fiber Diameter,125.0,µm
First Coating Diameter (Theoretical),161.95878355564466,µm
Second Coating Diameter (Theoretical),231.96861403111058,µm
Primary Coating,DP-1032,
Secondary Coating,DS-2015,
First Coating Entry Die,350.0,µm
Second Coating Entry Die,500.0,µm
Primary Coating Temperature,28.0,°C
Secondary Coating Temperature,28.0,°C
Primary Die Diameter,202,µm
Secondary Die Diameter,310,µm
P Gain (Diameter Control),1.0,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.27,mm
