Parameter Name,Value,Units
Draw Name,P0529_js2j,
Draw Date,2025-11-13 08:53:56.491184,
Entry Fiber Diameter,400.0,µm
First Coating Diameter (Theoretical),469.85052338273306,µm
Second Coating Diameter (Theoretical),551.3049883781413,µm
Primary Coating,Coating_OF_136,
Secondary Coating,DS-2015,
First Coating Entry Die,700.0,µm
Second Coating Entry Die,800.0,µm
Primary Coating Temperature,36.0,°C
Secondary Coating Temperature,28.0,°C
Primary Die Diameter,543,µm
Secondary Die Diameter,637,µm
Preform Diameter,27.0,mm
Tiger Cut,0.0,%
Selected Iris Diameter,32.0,mm
P Gain (Diameter Control),1.0,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.62,mm
Preform Diameter,27.0,mm
Tiger Cut,0.0,%
Selected Iris Diameter,31.5,mm
