Parameter Name,Value,Units
Draw Name,martin_first_draw,
Draw Date,2025-07-15 08:55:23.414998,
Entry Fiber Diameter,125.0,µm
First Coating Diameter (Theoretical),161.95878355564466,µm
Second Coating Diameter (Theoretical),231.96861403111058,µm
Primary Coating,DP-1032,
Secondary Coating,DS-2015,
First Coating Entry Die,350.0,µm
Second Coating Entry Die,500.0,µm
Primary Coating Temperature,28.0,°C
Secondary Coating Temperature,28.0,°C
Primary Die Diameter,202,µm
Secondary Die Diameter,310,µm
Preform Diameter,28.0,mm
Tiger Cut,0.0,%
Selected Iris Diameter,32.0,mm
