Parameter Name,Value,Units
Draw Name,P0522_pm,
Draw Date,2026-01-28 12:16:06.522288,
Entry Fiber Diameter,400.0,µm
First Coating Diameter (Theoretical),469.84592744666713,µm
Second Coating Diameter (Theoretical),551.3025495014814,µm
Primary Coating,Coating_OF_136,
Secondary Coating,DS-2015,
First Coating Entry Die,700.0,µm
Second Coating Entry Die,800.0,µm
Primary Coating Temperature,38.0,°C
Secondary Coating Temperature,32.0,°C
Primary Die Diameter,543,µm
Secondary Die Diameter,637,µm
Preform Diameter,28.0,mm
Tiger Cut,0.0,%
Selected Iris Diameter,32.0,mm
P Gain (Diameter Control),1.0,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.6,mm
