============================================================
DRAW DATASET — TEXT SNAPSHOT
============================================================
Time: 2026-02-03 08:30:02
Source CSV: FTT666_1.csv
Preform Length After Draw (cm): 200.0
Done Description: hi 
------------------------------------------------------------

CSV CONTENT (raw):

Parameter Name,Value,Units
Draw Name,FTT666_1,
Draw Date,2026-02-02 18:45:25.322974,
Order Index,19,
Preform Number,TT666,
Fiber Project,LARA,
Process Setup Timestamp,2026-02-02 18:45:43,
Preform Diameter,20.0,mm
Preform Shape,Circular,
Octagonal Preform,0,bool
Octagonal F2F,,mm
Tiger Preform,0,bool
Tiger Cut,0,%
PM Iris System,0,bool
Iris Mode,Manual,
Base Area,314.1592653589793,mm^2
Adjusted Area,314.1592653589793,mm^2
Effective Preform Diameter,20.0,mm
Selected Iris Diameter,25.5,mm
Iris Gap Area,196.54589039021144,mm^2
Entry Fiber Diameter,40.0,µm
First Coating Diameter (Theoretical),72.0657550218401,µm
Second Coating Diameter (Theoretical),90.36784910753252,µm
Primary Coating,Coating_OF_136,
Secondary Coating,Coating_OF_136,
First Coating Entry Die,300.0,µm
Second Coating Entry Die,300.0,µm
Primary Coating Temperature,25.0,°C
Secondary Coating Temperature,25.0,°C
Primary Die Diameter,110.0,µm
Secondary Die Diameter,110.0,µm
P Gain (Diameter Control),1.0,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.12,mm
Selected Drum,BN1,
Log File Name,newst_test23.csv,
Zone 1 Start,2024-11-19 13:41:06.772000,
Zone 1 End,2024-11-19 13:50:25.772000,
Zone 2 Start,2024-11-19 13:59:33.772000,
Zone 2 End,2024-11-19 14:04:18.772000,
Good Zone 1 Avg - Bare Fibre Diameter,362.0105353764125,
Good Zone 1 Min - Bare Fibre Diameter,295.0,
Good Zone 1 Max - Bare Fibre Diameter,402.619995117188,
Good Zone 1 Avg - Diameter Error,10.050000190734902,
Good Zone 1 Min - Diameter Error,10.0500001907349,
Good Zone 1 Max - Diameter Error,10.0500001907349,
Good Zone 1 Avg - Pf Process Position,36.04465811593193,
Good Zone 1 Min - Pf Process Position,30.9675598144531,
Good Zone 1 Max - Pf Process Position,41.3036193847656,
Good Zone 1 Avg - Capstan Speed,5.046000042131971,
Good Zone 1 Min - Capstan Speed,4.89600038528442,
